Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2364,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3505,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1546,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,3114,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1649,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2357,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2787,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2917,0,0,0,0,0,24,0,0,0,0,0,0,0,2,115
MSitAE-APRIL-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15596,0,0,0,0,0,2256,0,0,0,0,0,1068,50,2828,0,0,181
MSitAE-APRIL-2026,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
MSitAE-APRIL-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7156,0,2863,0,0,94,3375,0,8,0,0,0,368,587,2512,0,0,683
MSitAE-APRIL-2026,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9374,0,0,18,0,0,1831,0,0,0,0,0,314,26,3268,0,0,495
MSitAE-APRIL-2026,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1134,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6443,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3546,0,0,210,0,0,36,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2921,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11100,0,0,0,0,0,2271,0,0,0,0,0,170,32,1696,0,0,336
MSitAE-APRIL-2026,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3263,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2159,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
MSitAE-APRIL-2026,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22326,883,10855,0,0,0,7928,0,109,0,0,0,1016,732,6006,0,0,147
MSitAE-APRIL-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2026,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
MSitAE-APRIL-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
