Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2026,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3565,0,0,2,0,0,82,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2552,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2834,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
MSitAE-MAY-2026,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,67
MSitAE-MAY-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,3081,0,0,0,0,0,71,0,0,0,0,0,0,0,0,130
MSitAE-MAY-2026,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6909,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1665,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2194,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2500,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1709,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2026,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
